335
  2     12.5291   -2.75374   0.11489   -0.014791   0.000716915           
PF         2   F P 1 1
  2     12.4263   -5.53137   0.247703   -0.0347656   0.00175754           
FRb         2   F Rb 1 1
  2     11.6542   -5.42392   0.100785   -0.0128756   0.000617091           
FSc         2   F Sc 1 1
  2     13.6649   -7.59351   0.460135   -0.0665441   0.00340948           
SiF         2   F Si 1 1
  2     12.4272   -6.20026   0.166854   -0.0227883   0.00113711           
SrF         2   F Sr 1 1
  2     12.3181   -7.22137   0.560102   -0.0819943   0.00422812           
TiF         2   F Ti 1 1
  2     12.5753   -7.01955   0.384245   -0.056623   0.00291786           
FY         2   F Y 1 1
  2     13.6035   -7.6595   0.464241   -0.0667616   0.00341154           
ZrF         2   F Zr 1 1
  2     13.3407   -7.86936   0.412764   -0.0557605   0.00274396           
F2         1   F 2
  2     12.9994   -2.02215   0.100213   -0.0136564   0.00069231           
FeF2         2   F Fe 2 1
  2     24.9698   -10.6093   0.230776   -0.0352354   0.0018581           
LaF2         2   F La 2 1
  2     25.6309   -13.717   0.128572   -0.0144744   0.000618317           
MgF2         2   F Mg 2 1
  2     25.5875   -11.7332   0.32973   -0.0501521   0.00265592           
MnF2         2   F Mn 2 1
  2     24.1105   -10.4973   0.324402   -0.0492499   0.00260134           
NdF2         2   F Nd 2 1
  2     25.5469   -12.0942   0.0422357   -0.00510597   0.000236412           
PF2         2   F P 2 1
  2     25.2106   -10.5016   0.241606   -0.0333863   0.00167674           
SiF2         2   F Si 2 1
  2     26.1191   -13.847   0.334239   -0.0477837   0.00244846           
SrF2         2   F Sr 2 1
  2     24.4003   -13.3449   0.667679   -0.0982451   0.00508389           
TiF2         2   F Ti 2 1
  2     25.6822   -14.6004   0.19921   -0.0294509   0.00153526           
VF2         2   F V 2 1
  2     25.1448   -13.8119   0.279138   -0.0395711   0.00201049           
YF2         2   F Y 2 1
  2     25.8734   -13.7665   0.361694   -0.0531677   0.00274947           
ZrF2         2   F Zr 2 1
  2     27.3671   -15.6078   0.42389   -0.0574018   0.00283753           
Fe(OH)2      3   Fe H O 1 2 2
  2     49.4081   -18.1359   0.206823   -0.0309433   0.00164995           
FeO         2   Fe O 1 1
  2     12.9845   -5.27982   0.317452   -0.0445649   0.0022524           
FeS         2   Fe S 1 1
