vacuum
lam[mu]  n       k  
      0.33113112      1.00000      0.00000
      0.33265955      1.00000      0.00000
      0.33419504      1.00000      0.00000
      0.33573761      1.00000      0.00000
      0.33728731      1.00000      0.00000
      0.33884416      1.00000      0.00000
      0.34040819      1.00000      0.00000
      0.34197944      1.00000      0.00000
      0.34355795      1.00000      0.00000
      0.34514374      1.00000      0.00000
      0.34673685      1.00000      0.00000
      0.34833732      1.00000      0.00000
      0.34994517      1.00000      0.00000
      0.35156044      1.00000      0.00000
      0.35318317      1.00000      0.00000
      0.35481339      1.00000      0.00000
      0.35645113      1.00000      0.00000
      0.35809644      1.00000      0.00000
      0.35974934      1.00000      0.00000
      0.36140986      1.00000      0.00000
      0.36307805      1.00000      0.00000
      0.36475395      1.00000      0.00000
      0.36643757      1.00000      0.00000
      0.36812897      1.00000      0.00000
      0.36982818      1.00000      0.00000
      0.37153523      1.00000      0.00000
      0.37325016      1.00000      0.00000
      0.37497300      1.00000      0.00000
      0.37670380      1.00000      0.00000
      0.37844258      1.00000      0.00000
      0.38018940      1.00000      0.00000
      0.38194427      1.00000      0.00000
      0.38370725      1.00000      0.00000
      0.38547836      1.00000      0.00000
      0.38725764      1.00000      0.00000
      0.38904514      1.00000      0.00000
      0.39084090      1.00000      0.00000
      0.39264494      1.00000      0.00000
      0.39445730      1.00000      0.00000
      0.39627803      1.00000      0.00000
      0.39810717      1.00000      0.00000
      0.39994475      1.00000      0.00000
      0.40179081      1.00000      0.00000
      0.40364539      1.00000      0.00000
      0.40550854      1.00000      0.00000
      0.40738028      1.00000      0.00000
      0.40926066      1.00000      0.00000
      0.41114972      1.00000      0.00000
      0.41304750      1.00000      0.00000
      0.41495404      1.00000      0.00000
      0.41686938      1.00000      0.00000
      0.41879357      1.00000      0.00000
      0.42072663      1.00000      0.00000
      0.42266861      1.00000      0.00000
      0.42461956      1.00000      0.00000
      0.42657952      1.00000      0.00000
      0.42854852      1.00000      0.00000
      0.43052661      1.00000      0.00000
      0.43251383      1.00000      0.00000
      0.43451022      1.00000      0.00000
      0.43651583      1.00000      0.00000
      0.43853070      1.00000      0.00000
      0.44055486      1.00000      0.00000
      0.44258837      1.00000      0.00000
      0.44463127      1.00000      0.00000
      0.44668359      1.00000      0.00000
      0.44874539      1.00000      0.00000
      0.45081670      1.00000      0.00000
      0.45289758      1.00000      0.00000
      0.45498806      1.00000      0.00000
      0.45708819      1.00000      0.00000
      0.45919801      1.00000      0.00000
      0.46131757      1.00000      0.00000
      0.46344692      1.00000      0.00000
      0.46558609      1.00000      0.00000
      0.46773514      1.00000      0.00000
      0.46989411      1.00000      0.00000
      0.47206304      1.00000      0.00000
      0.47424199      1.00000      0.00000
      0.47643099      1.00000      0.00000
      0.47863009      1.00000      0.00000
      0.48083935      1.00000      0.00000
      0.48305880      1.00000      0.00000
      0.48528850      1.00000      0.00000
      0.48752849      1.00000      0.00000
      0.48977882      1.00000      0.00000
      0.49203954      1.00000      0.00000
      0.49431069      1.00000      0.00000
      0.49659232      1.00000      0.00000
      0.49888449      1.00000      0.00000
      0.50118723      1.00000      0.00000
      0.50350061      1.00000      0.00000
      0.50582466      1.00000      0.00000
      0.50815944      1.00000      0.00000
      0.51050500      1.00000      0.00000
      0.51286138      1.00000      0.00000
      0.51522864      1.00000      0.00000
      0.51760683      1.00000      0.00000
      0.51999600      1.00000      0.00000
      0.52239619      1.00000      0.00000
      0.52480746      1.00000      0.00000
      0.52722986      1.00000      0.00000
      0.52966344      1.00000      0.00000
      0.53210826      1.00000      0.00000
      0.53456436      1.00000      0.00000
      0.53703180      1.00000      0.00000
      0.53951062      1.00000      0.00000
      0.54200089      1.00000      0.00000
      0.54450265      1.00000      0.00000
      0.54701596      1.00000      0.00000
      0.54954087      1.00000      0.00000
      0.55207744      1.00000      0.00000
      0.55462571      1.00000      0.00000
      0.55718575      1.00000      0.00000
      0.55975760      1.00000      0.00000
      0.56234133      1.00000      0.00000
      0.56493697      1.00000      0.00000
      0.56754461      1.00000      0.00000
      0.57016427      1.00000      0.00000
      0.57279603      1.00000      0.00000
      0.57543994      1.00000      0.00000
      0.57809605      1.00000      0.00000
      0.58076442      1.00000      0.00000
      0.58344510      1.00000      0.00000
      0.58613816      1.00000      0.00000
      0.58884366      1.00000      0.00000
      0.59156163      1.00000      0.00000
      0.59429216      1.00000      0.00000
      0.59703529      1.00000      0.00000
      0.59979108      1.00000      0.00000
      0.60255959      1.00000      0.00000
      0.60534087      1.00000      0.00000
      0.60813500      1.00000      0.00000
      0.61094202      1.00000      0.00000
      0.61376201      1.00000      0.00000
      0.61659500      1.00000      0.00000
      0.61944108      1.00000      0.00000
      0.62230029      1.00000      0.00000
      0.62517269      1.00000      0.00000
      0.62805836      1.00000      0.00000
      0.63095734      1.00000      0.00000
      0.63386971      1.00000      0.00000
      0.63679552      1.00000      0.00000
      0.63973484      1.00000      0.00000
      0.64268772      1.00000      0.00000
      0.64565423      1.00000      0.00000
      0.64863443      1.00000      0.00000
      0.65162839      1.00000      0.00000
      0.65463617      1.00000      0.00000
      0.65765784      1.00000      0.00000
      0.66069345      1.00000      0.00000
      0.66374307      1.00000      0.00000
      0.66680677      1.00000      0.00000
      0.66988461      1.00000      0.00000
      0.67297666      1.00000      0.00000
      0.67608298      1.00000      0.00000
      0.67920363      1.00000      0.00000
      0.68233869      1.00000      0.00000
      0.68548823      1.00000      0.00000
      0.68865230      1.00000      0.00000
      0.69183097      1.00000      0.00000
      0.69502432      1.00000      0.00000
      0.69823240      1.00000      0.00000
      0.70145530      1.00000      0.00000
      0.70469307      1.00000      0.00000
      0.70794578      1.00000      0.00000
      0.71121351      1.00000      0.00000
      0.71449633      1.00000      0.00000
      0.71779429      1.00000      0.00000
      0.72110748      1.00000      0.00000
      0.72443596      1.00000      0.00000
      0.72777980      1.00000      0.00000
      0.73113908      1.00000      0.00000
      0.73451387      1.00000      0.00000
      0.73790423      1.00000      0.00000
      0.74131024      1.00000      0.00000
      0.74473197      1.00000      0.00000
      0.74816950      1.00000      0.00000
      0.75162289      1.00000      0.00000
      0.75509223      1.00000      0.00000
      0.75857758      1.00000      0.00000
      0.76207901      1.00000      0.00000
      0.76559661      1.00000      0.00000
      0.76913044      1.00000      0.00000
      0.77268059      1.00000      0.00000
      0.77624712      1.00000      0.00000
      0.77983011      1.00000      0.00000
      0.78342964      1.00000      0.00000
      0.78704579      1.00000      0.00000
      0.79067863      1.00000      0.00000
      0.79432823      1.00000      0.00000
      0.79799469      1.00000      0.00000
      0.80167806      1.00000      0.00000
      0.80537844      1.00000      0.00000
      0.80909590      1.00000      0.00000
      0.81283052      1.00000      0.00000
      0.81658237      1.00000      0.00000
      0.82035154      1.00000      0.00000
      0.82413812      1.00000      0.00000
      0.82794216      1.00000      0.00000
      0.83176377      1.00000      0.00000
      0.83560302      1.00000      0.00000
      0.83945999      1.00000      0.00000
      0.84333476      1.00000      0.00000
      0.84722741      1.00000      0.00000
      0.85113804      1.00000      0.00000
      0.85506671      1.00000      0.00000
      0.85901352      1.00000      0.00000
      0.86297855      1.00000      0.00000
